"Survived","Name"
1,"Leader, Dr. Alice (Farnham)"
1,"Osman, Mrs. Mara"
0,"Ibrahim Shawah, Mr. Yousseff"
0,"Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)"
0,"Ponesell, Mr. Martin"
1,"Collyer, Mrs. Harvey (Charlotte Annie Tate)"
1,"Carter, Master. William Thornton II"
1,"Thomas, Master. Assad Alexander"
1,"Hedman, Mr. Oskar Arvid"
0,"Johansson, Mr. Karl Johan"
0,"Andrews, Mr. Thomas Jr"
0,"Pettersson, Miss. Ellen Natalia"
0,"Meyer, Mr. August"
1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)"
0,"Alexander, Mr. William"
0,"Lester, Mr. James"
0,"Slemen, Mr. Richard James"
0,"Andersson, Miss. Ebba Iris Alfrida"
0,"Tomlin, Mr. Ernest Portage"
0,"Heininen, Miss. Wendla Maria"
0,"Mallet, Mr. Albert"
0,"Holm, Mr. John Fredrik Alexander"
0,"Skoog, Master. Karl Thorsten"
1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)"
1,"Lulic, Mr. Nikola"
0,"Reuchlin, Jonkheer. John George"
1,"Moor, Mrs. (Beila)"
0,"Panula, Master. Urho Abraham"
1,"Mallet, Master. Andre"
1,"Yasbeck, Mrs. Antoni (Selini Alexander)"
1,"Richards, Master. George Sibley"
0,"Augustsson, Mr. Albert"
0,"Allum, Mr. Owen George"
1,"Compton, Miss. Sara Rebecca"
0,"Pasic, Mr. Jakob"
1,"Chip, Mr. Chang"
0,"Alhomaki, Mr. Ilmari Rudolf"
0,"Mudd, Mr. Thomas Charles"
1,"Serepeca, Miss. Augusta"
0,"Lemberopolous, Mr. Peter L"
0,"Culumovic, Mr. Jeso"
0,"Abbing, Mr. Anthony"
0,"Markoff, Mr. Marin"
0,"Harper, Rev. John"
0,"Andersson, Master. Sigvard Harald Elias"
0,"Svensson, Mr. Johan"
0,"Boulos, Miss. Nourelain"
1,"Lines, Miss. Mary Conover"
0,"Carter, Mrs. Ernest Courtenay (Lilian Hughes)"
1,"Aks, Mrs. Sam (Leah Rosen)"
1,"Wick, Mrs. George Dennick (Mary Hitchcock)"
1,"Daly, Mr. Peter Denis "
1,"Baclini, Mrs. Solomon (Latifa Qurban)"
0,"Hansen, Mr. Claus Peter"
0,"Giles, Mr. Frederick Edward"
1,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)"
0,"Gill, Mr. John William"
1,"Bystrom, Mrs. (Karolina)"
1,"Duran y More, Miss. Asuncion"
0,"Roebling, Mr. Washington Augustus II"
1,"Johnson, Master. Harold Theodor"
0,"Balkic, Mr. Cerin"
1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)"
0,"Carlsson, Mr. Frans Olof"
0,"Vander Cruyssen, Mr. Victor"
1,"Abelson, Mrs. Samuel (Hannah Wizosky)"
1,"Najib, Miss. Adele Kiamie ""Jane"""
0,"Gustafsson, Mr. Alfred Ossian"
0,"Petroff, Mr. Nedelio"
1,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)"
1,"Shelley, Mrs. William (Imanita Parrish Hall)"
0,"Markun, Mr. Johann"
0,"Dahlberg, Miss. Gerda Ulrika"
0,"Banfield, Mr. Frederick James"
0,"Sutehall, Mr. Henry Jr"
0,"Rice, Mrs. William (Margaret Norton)"
0,"Montvila, Rev. Juozas"
1,"Graham, Miss. Margaret Edith"
1,"Behr, Mr. Karl Howell"
0,"Dooley, Mr. Patrick"
